OBJECTID,COL_LATDEC,COL_LONDEC,COLNAME,BLOCKNUMBE,COLONY_ID,MAX_COUNT,SPECIES_CO,XLATDEC,XLONDEC,POPMAXCOUN,COLIMPORTA,FIFTY_THOU,UTM_E,UTM_N,UTM_Z,ID_POPULAT,IBA_IMPORT,BufDistanc
51,     48.28890000000,    -64.71920000000,Newport,      0.00000000000,23,    260.00000000000,BCNH,     48.28890000000,    -64.71920000000,  11761.00000000000,      0.02211000000,22A07,      0.00000000000,      0.00000000000,      0.00000000000, 110000.00000000000,      0.00236000000,0
52,     48.33980000000,    -64.66970000000,Ile Dupuis,      0.00000000000,24,   1520.00000000000,DCCO,     48.33980000000,    -64.66970000000, 221715.00000000000,      0.00686000000,22A07,      0.00000000000,      0.00000000000,      0.00000000000,1400000.00000000000,      0.00109000000,0
53,     48.33980000000,    -64.66970000000,Ile Dupuis,      0.00000000000,24,    960.00000000000,HERG,     48.33980000000,    -64.66970000000, 500778.00000000000,      0.00192000000,22A07,      0.00000000000,      0.00000000000,      0.00000000000, 370000.00000000000,      0.00259000000,0
54,     48.33980000000,    -64.66970000000,Ile Dupuis,      0.00000000000,24,     18.00000000000,GBBG,     48.33980000000,    -64.66970000000, 147252.00000000000,      0.00012000000,22A07,      0.00000000000,      0.00000000000,      0.00000000000, 180000.00000000000,      0.00010000000,0
55,     48.38350000000,    -64.54730000000,Chandler (Chandler-Grande-Rivière),      0.00000000000,25,    202.00000000000,HERG,     48.38350000000,    -64.54730000000, 500778.00000000000,      0.00040000000,"22A08, 22A07",      0.00000000000,      0.00000000000,      0.00000000000, 370000.00000000000,      0.00055000000,0
56,     48.38350000000,    -64.54730000000,Chandler (Chandler-Grande-Rivière),      0.00000000000,25,     54.00000000000,BLGU,     48.38350000000,    -64.54730000000,  42569.00000000000,      0.00127000000,"22A08, 22A07",      0.00000000000,      0.00000000000,      0.00000000000, 230000.00000000000,      0.00023000000,0
57,     48.38350000000,    -64.54730000000,Chandler (Chandler-Grande-Rivière),      0.00000000000,25,     16.00000000000,GBBG,     48.38350000000,    -64.54730000000, 147252.00000000000,      0.00011000000,"22A08, 22A07",      0.00000000000,      0.00000000000,      0.00000000000, 180000.00000000000,      0.00009000000,0
58,     48.37770000000,    -64.59180000000,Barachois de Pabos,      0.00000000000,26,    140.00000000000,HERG,     48.37770000000,    -64.59180000000, 500778.00000000000,      0.00028000000,22A07,      0.00000000000,      0.00000000000,      0.00000000000, 370000.00000000000,      0.00038000000,0
59,     48.40960000000,    -64.41970000000,Grande-Rivière (Grde.-Riv.-Cap d'Espoir),      0.00000000000,27,    730.00000000000,HERG,     48.40960000000,    -64.41970000000, 500778.00000000000,      0.00146000000,22A08,      0.00000000000,      0.00000000000,      0.00000000000, 370000.00000000000,      0.00197000000,0
60,     48.40960000000,    -64.41970000000,Grande-Rivière (Grde.-Riv.-Cap d'Espoir),      0.00000000000,27,    386.00000000000,BLGU,     48.40960000000,    -64.41970000000,  42569.00000000000,      0.00907000000,22A08,      0.00000000000,      0.00000000000,      0.00000000000, 230000.00000000000,      0.00168000000,0
61,     48.40960000000,    -64.41970000000,Grande-Rivière (Grde.-Riv.-Cap d'Espoir),      0.00000000000,27,     30.00000000000,GBBG,     48.40960000000,    -64.41970000000, 147252.00000000000,      0.00020000000,22A08,      0.00000000000,      0.00000000000,      0.00000000000, 180000.00000000000,      0.00017000000,0
62,     48.41150000000,    -64.41260000000,Sainte-Thérèse-de-Gaspé,      0.00000000000,28,    290.00000000000,DCCO,     48.41150000000,    -64.41260000000, 221715.00000000000,      0.00131000000,22A08,      0.00000000000,      0.00000000000,      0.00000000000,1400000.00000000000,      0.00021000000,0
63,     48.41150000000,    -64.41260000000,Sainte-Thérèse-de-Gaspé,      0.00000000000,28,    270.00000000000,BLKI,     48.41150000000,    -64.41260000000, 336755.00000000000,      0.00080000000,22A08,      0.00000000000,      0.00000000000,      0.00000000000, 900000.00000000000,      0.00030000000,0
64,     48.41150000000,    -64.41260000000,Sainte-Thérèse-de-Gaspé,      0.00000000000,28,      4.00000000000,GRCO,     48.41150000000,    -64.41260000000,  24420.00000000000,      0.00016000000,22A08,      0.00000000000,      0.00000000000,      0.00000000000,  17000.00000000000,      0.00024000000,0
65,     48.42560000000,    -64.32440000000,Cap d'Espoir,      0.00000000000,29,   8984.00000000000,BLKI,     48.42560000000,    -64.32440000000, 336755.00000000000,      0.02668000000,22A08,      0.00000000000,      0.00000000000,      0.00000000000, 900000.00000000000,      0.00998000000,0
66,     48.42560000000,    -64.32440000000,Cap d'Espoir,      0.00000000000,29,    500.00000000000,HERG,     48.42560000000,    -64.32440000000, 500778.00000000000,      0.00100000000,22A08,      0.00000000000,      0.00000000000,      0.00000000000, 370000.00000000000,      0.00135000000,0
67,     48.42560000000,    -64.32440000000,Cap d'Espoir,      0.00000000000,29,    196.00000000000,DCCO,     48.42560000000,    -64.32440000000, 221715.00000000000,      0.00088000000,22A08,      0.00000000000,      0.00000000000,      0.00000000000,1400000.00000000000,      0.00014000000,0
68,     48.42560000000,    -64.32440000000,Cap d'Espoir,      0.00000000000,29,    128.00000000000,BLGU,     48.42560000000,    -64.32440000000,  42569.00000000000,      0.00301000000,22A08,      0.00000000000,      0.00000000000,      0.00000000000, 230000.00000000000,      0.00056000000,0
69,     48.42560000000,    -64.32440000000,Cap d'Espoir,      0.00000000000,29,    100.00000000000,GRCO,     48.42560000000,    -64.32440000000,  24420.00000000000,      0.00410000000,22A08,      0.00000000000,      0.00000000000,      0.00000000000,  17000.00000000000,      0.00588000000,0
70,     48.42560000000,    -64.32440000000,Cap d'Espoir,      0.00000000000,29,     24.00000000000,GBBG,     48.42560000000,    -64.32440000000, 147252.00000000000,      0.00016000000,22A08,      0.00000000000,      0.00000000000,      0.00000000000, 180000.00000000000,      0.00013000000,0
71,     48.42560000000,    -64.32440000000,Cap d'Espoir,      0.00000000000,29,     23.00000000000,RAZO,     48.42560000000,    -64.32440000000,  87882.00000000000,      0.00026000000,22A08,      0.00000000000,      0.00000000000,      0.00000000000,  76000.00000000000,      0.00030000000,0
72,     48.42560000000,    -64.32440000000,Cap d'Espoir,      0.00000000000,29,      6.00000000000,COMU,     48.42560000000,    -64.32440000000,1264411.00000000000,      0.00000000000,22A08,      0.00000000000,      0.00000000000,      0.00000000000, 998931.00000000000,      0.00001000000,0
73,     48.49730000000,    -64.24040000000,Anse à Beaufils (Cap d'Espoir-Percé),      0.00000000000,30,   1248.00000000000,HERG,     48.49730000000,    -64.24040000000, 500778.00000000000,      0.00249000000,"22A09, 22A08",      0.00000000000,      0.00000000000,      0.00000000000, 370000.00000000000,      0.00337000000,0
74,     48.49730000000,    -64.24040000000,Anse à Beaufils (Cap d'Espoir-Percé),      0.00000000000,30,    430.00000000000,BLGU,     48.49730000000,    -64.24040000000,  42569.00000000000,      0.01010000000,"22A09, 22A08",      0.00000000000,      0.00000000000,      0.00000000000, 230000.00000000000,      0.00187000000,0
75,     48.49730000000,    -64.24040000000,Anse à Beaufils (Cap d'Espoir-Percé),      0.00000000000,30,     12.00000000000,GBBG,     48.49730000000,    -64.24040000000, 147252.00000000000,      0.00008000000,"22A09, 22A08",      0.00000000000,      0.00000000000,      0.00000000000, 180000.00000000000,      0.00007000000,0
76,     48.52400000000,    -64.19910000000,Rocher Percé,      0.00000000000,31,   2774.00000000000,BLKI,     48.52400000000,    -64.19910000000, 336755.00000000000,      0.00824000000,22A09,      0.00000000000,      0.00000000000,      0.00000000000, 900000.00000000000,      0.00308000000,0
77,     48.52400000000,    -64.19910000000,Rocher Percé,      0.00000000000,31,   2132.00000000000,HERG,     48.52400000000,    -64.19910000000, 500778.00000000000,      0.00426000000,22A09,      0.00000000000,      0.00000000000,      0.00000000000, 370000.00000000000,      0.00576000000,0
78,     48.52400000000,    -64.19910000000,Rocher Percé,      0.00000000000,31,   1434.00000000000,BLGU,     48.52400000000,    -64.19910000000,  42569.00000000000,      0.03369000000,22A09,      0.00000000000,      0.00000000000,      0.00000000000, 230000.00000000000,      0.00623000000,0
79,     48.52400000000,    -64.19910000000,Rocher Percé,      0.00000000000,31,    948.00000000000,DCCO,     48.52400000000,    -64.19910000000, 221715.00000000000,      0.00428000000,22A09,      0.00000000000,      0.00000000000,      0.00000000000,1400000.00000000000,      0.00068000000,0
80,     48.52400000000,    -64.19910000000,Rocher Percé,      0.00000000000,31,    314.00000000000,GBBG,     48.52400000000,    -64.19910000000, 147252.00000000000,      0.00213000000,22A09,      0.00000000000,      0.00000000000,      0.00000000000, 180000.00000000000,      0.00174000000,0
81,     48.52400000000,    -64.19910000000,Rocher Percé,      0.00000000000,31,    126.00000000000,RAZO,     48.52400000000,    -64.19910000000,  87882.00000000000,      0.00143000000,22A09,      0.00000000000,      0.00000000000,      0.00000000000,  76000.00000000000,      0.00166000000,0
82,     48.52400000000,    -64.19910000000,Rocher Percé,      0.00000000000,31,     76.00000000000,GRCO,     48.52400000000,    -64.19910000000,  24420.00000000000,      0.00311000000,22A09,      0.00000000000,      0.00000000000,      0.00000000000,  17000.00000000000,      0.00447000000,0
83,     48.52400000000,    -64.19910000000,Rocher Percé,      0.00000000000,31,     42.00000000000,COMU,     48.52400000000,    -64.19910000000,1264411.00000000000,      0.00003000000,22A09,      0.00000000000,      0.00000000000,      0.00000000000, 998931.00000000000,      0.00004000000,0
84,     48.49560000000,    -64.16030000000,Ile Bonaventure,      0.00000000000,32,  56478.00000000000,COMU,     48.49560000000,    -64.16030000000,1264411.00000000000,      0.04467000000,"22A09, 22A08",      0.00000000000,      0.00000000000,      0.00000000000, 998931.00000000000,      0.05654000000,0
85,     48.49560000000,    -64.16030000000,Ile Bonaventure,      0.00000000000,32,  47300.00000000000,BLKI,     48.49560000000,    -64.16030000000, 336755.00000000000,      0.14046000000,"22A09, 22A08",      0.00000000000,      0.00000000000,      0.00000000000, 900000.00000000000,      0.05256000000,0
86,     48.49560000000,    -64.16030000000,Ile Bonaventure,      0.00000000000,32,   1788.00000000000,HERG,     48.49560000000,    -64.16030000000, 500778.00000000000,      0.00357000000,"22A09, 22A08",      0.00000000000,      0.00000000000,      0.00000000000, 370000.00000000000,      0.00483000000,0
87,     48.49560000000,    -64.16030000000,Ile Bonaventure,      0.00000000000,32,   1278.00000000000,RAZO,     48.49560000000,    -64.16030000000,  87882.00000000000,      0.01454000000,"22A09, 22A08",      0.00000000000,      0.00000000000,      0.00000000000,  76000.00000000000,      0.01682000000,0
88,     48.49560000000,    -64.16030000000,Ile Bonaventure,      0.00000000000,32,    334.00000000000,BLGU,     48.49560000000,    -64.16030000000,  42569.00000000000,      0.00785000000,"22A09, 22A08",      0.00000000000,      0.00000000000,      0.00000000000, 230000.00000000000,      0.00145000000,0
89,     48.49560000000,    -64.16030000000,Ile Bonaventure,      0.00000000000,32,     74.00000000000,GBBG,     48.49560000000,    -64.16030000000, 147252.00000000000,      0.00050000000,"22A09, 22A08",      0.00000000000,      0.00000000000,      0.00000000000, 180000.00000000000,      0.00041000000,0
90,     48.49560000000,    -64.16030000000,Ile Bonaventure,      0.00000000000,32,     56.00000000000,LHSP,     48.49560000000,    -64.16030000000,7754183.00000000000,      0.00001000000,"22A09, 22A08",      0.00000000000,      0.00000000000,      0.00000000000,2000000.00000000000,      0.00003000000,0
91,     48.49560000000,    -64.16030000000,Ile Bonaventure,      0.00000000000,32,     20.00000000000,DCCO,     48.49560000000,    -64.16030000000, 221715.00000000000,      0.00009000000,"22A09, 22A08",      0.00000000000,      0.00000000000,      0.00000000000,1400000.00000000000,      0.00001000000,0
92,     48.49560000000,    -64.16030000000,Ile Bonaventure,      0.00000000000,32,     12.00000000000,ATPU,     48.49560000000,    -64.16030000000, 415307.00000000000,      0.00003000000,"22A09, 22A08",      0.00000000000,      0.00000000000,      0.00000000000, 700000.00000000000,      0.00002000000,0
93,     48.49560000000,    -64.16030000000,Ile Bonaventure,      0.00000000000,32,      4.00000000000,GRCO,     48.49560000000,    -64.16030000000,  24420.00000000000,      0.00016000000,"22A09, 22A08",      0.00000000000,      0.00000000000,      0.00000000000,  17000.00000000000,      0.00024000000,0
94,     48.54280000000,    -64.25140000000,Cap Barré (Percé-Cannes de Roches),      0.00000000000,33,    237.00000000000,BLGU,     48.54280000000,    -64.25140000000,  42569.00000000000,      0.00557000000,22A09,      0.00000000000,      0.00000000000,      0.00000000000, 230000.00000000000,      0.00103000000,0
95,     48.54280000000,    -64.25140000000,Cap Barré (Percé-Cannes de Roches),      0.00000000000,33,    182.00000000000,HERG,     48.54280000000,    -64.25140000000, 500778.00000000000,      0.00036000000,22A09,      0.00000000000,      0.00000000000,      0.00000000000, 370000.00000000000,      0.00049000000,0
96,     48.54280000000,    -64.25140000000,Cap Barré (Percé-Cannes de Roches),      0.00000000000,33,     10.00000000000,GBBG,     48.54280000000,    -64.25140000000, 147252.00000000000,      0.00007000000,22A09,      0.00000000000,      0.00000000000,      0.00000000000, 180000.00000000000,      0.00006000000,0
